TimeEDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,75.0,64.0,69,29.97,10.0,WSW,4.6,16.1,N/A,,Clear,250,2014-07-01 04:51:00<br />
1:51 AM,75.0,60.1,60,29.96,10.0,Variable,6.9,-,N/A,,Clear,0,2014-07-01 05:51:00<br />
2:51 AM,73.9,63.0,68,29.94,10.0,West,8.1,-,N/A,,Clear,260,2014-07-01 06:51:00<br />
3:51 AM,73.0,64.9,76,29.92,10.0,WSW,3.5,-,N/A,,Clear,250,2014-07-01 07:51:00<br />
4:51 AM,73.0,64.9,76,29.93,10.0,WSW,5.8,-,N/A,,Clear,250,2014-07-01 08:51:00<br />
5:51 AM,72.0,66.0,81,29.93,10.0,Calm,Calm,-,N/A,,Clear,0,2014-07-01 09:51:00<br />
6:51 AM,73.9,66.0,76,29.94,10.0,North,-9999.0,-,N/A,,Clear,0,2014-07-01 10:51:00<br />
7:51 AM,75.0,66.0,73,29.95,10.0,North,-9999.0,-,N/A,,Mostly Cloudy,0,2014-07-01 11:51:00<br />
8:51 AM,75.9,66.9,74,29.93,10.0,North,-9999.0,-,N/A,,Clear,0,2014-07-01 12:51:00<br />
9:51 AM,79.0,66.9,66,29.91,10.0,Calm,Calm,-,N/A,,Clear,0,2014-07-01 13:51:00<br />
10:51 AM,82.0,69.1,65,29.90,10.0,Variable,3.5,-,N/A,,Clear,0,2014-07-01 14:51:00<br />
11:51 AM,86.0,69.1,57,29.88,10.0,Variable,4.6,-,N/A,,Partly Cloudy,0,2014-07-01 15:51:00<br />
12:51 PM,87.1,70.0,57,29.86,10.0,Variable,5.8,-,N/A,,Partly Cloudy,0,2014-07-01 16:51:00<br />
1:51 PM,88.0,70.0,55,29.85,10.0,South,6.9,-,N/A,,Mostly Cloudy,170,2014-07-01 17:51:00<br />
2:51 PM,84.9,69.1,59,29.85,10.0,South,5.8,-,N/A,,Mostly Cloudy,180,2014-07-01 18:51:00<br />
3:51 PM,86.0,69.1,57,29.84,10.0,South,5.8,-,N/A,,Partly Cloudy,170,2014-07-01 19:51:00<br />
4:51 PM,84.0,70.0,63,29.83,10.0,Variable,4.6,-,N/A,,Mostly Cloudy,0,2014-07-01 20:51:00<br />
5:51 PM,84.9,69.1,59,29.82,10.0,Variable,4.6,-,N/A,,Partly Cloudy,0,2014-07-01 21:51:00<br />
6:51 PM,84.0,69.1,61,29.83,10.0,Variable,4.6,-,N/A,,Mostly Cloudy,0,2014-07-01 22:51:00<br />
7:51 PM,82.9,69.1,63,29.83,10.0,South,6.9,-,N/A,,Clear,180,2014-07-01 23:51:00<br />
8:51 PM,82.0,66.9,60,29.85,10.0,Variable,6.9,-,N/A,,Clear,0,2014-07-02 00:51:00<br />
9:51 PM,81.0,66.0,60,29.86,10.0,North,-9999.0,-,N/A,,Clear,0,2014-07-02 01:51:00<br />
10:51 PM,80.1,66.0,62,29.85,10.0,Variable,5.8,-,N/A,,Clear,0,2014-07-02 02:51:00<br />
11:51 PM,79.0,66.0,64,29.86,10.0,Variable,5.8,-,N/A,,Clear,0,2014-07-02 03:51:00<br />
12:51 AM,79.0,66.0,64,29.85,10.0,Variable,5.8,19.6,N/A,,Clear,0,2014-07-02 04:51:00<br />
1:51 AM,78.1,66.0,66,29.86,10.0,Variable,4.6,-,N/A,,Clear,0,2014-07-02 05:51:00<br />
2:51 AM,78.1,66.0,66,29.86,10.0,Variable,5.8,-,N/A,,Clear,0,2014-07-02 06:51:00<br />
3:51 AM,77.0,66.9,71,29.87,10.0,Variable,4.6,-,N/A,,Clear,0,2014-07-02 07:51:00<br />
4:51 AM,77.0,66.9,71,29.87,10.0,Variable,4.6,-,N/A,,Clear,0,2014-07-02 08:51:00<br />
5:51 AM,77.0,68.0,74,29.88,10.0,Calm,Calm,-,N/A,,Overcast,0,2014-07-02 09:51:00<br />
6:51 AM,77.0,69.1,76,29.89,10.0,Calm,Calm,-,N/A,,Clear,0,2014-07-02 10:51:00<br />
7:51 AM,79.0,70.0,74,29.88,10.0,Calm,Calm,-,N/A,,Clear,0,2014-07-02 11:51:00<br />
8:51 AM,81.0,71.1,72,29.89,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-07-02 12:51:00<br />
9:51 AM,82.9,72.0,69,29.88,9.0,Calm,Calm,-,N/A,,Clear,0,2014-07-02 13:51:00<br />
10:51 AM,86.0,72.0,63,29.88,9.0,Calm,Calm,-,N/A,,Clear,0,2014-07-02 14:51:00<br />
11:51 AM,89.1,73.0,59,29.89,9.0,Variable,3.5,-,N/A,,Clear,0,2014-07-02 15:51:00<br />
12:51 PM,88.0,73.0,61,29.88,9.0,Variable,4.6,-,N/A,,Clear,0,2014-07-02 16:51:00<br />
1:51 PM,90.0,72.0,55,29.86,9.0,Variable,3.5,-,N/A,,Clear,0,2014-07-02 17:51:00<br />
2:51 PM,89.1,70.0,53,29.85,9.0,North,-9999.0,-,N/A,,Clear,0,2014-07-02 18:51:00<br />
3:51 PM,88.0,70.0,55,29.83,9.0,South,11.5,25.3,N/A,,Clear,190,2014-07-02 19:51:00<br />
4:51 PM,86.0,71.1,61,29.83,9.0,SSW,8.1,-,N/A,,Clear,200,2014-07-02 20:51:00<br />
5:35 PM,80.1,73.9,81,29.88,2.5,Calm,Calm,-,0.02,Rain,Light Rain,0,2014-07-02 21:35:00<br />
5:42 PM,79.0,75.0,88,29.89,1.2,North,-9999.0,-,0.06,Rain,Rain,0,2014-07-02 21:42:00<br />
5:49 PM,77.0,71.6,83,29.88,3.0,NE,12.7,24.2,0.06,Rain,Light Rain,40,2014-07-02 21:49:00<br />
5:51 PM,77.0,72.0,84,29.86,5.0,NNE,11.5,24.2,0.06,Rain,Light Rain,20,2014-07-02 21:51:00<br />
6:26 PM,73.9,71.1,91,29.94,1.8,ENE,8.1,-,0.05,Rain,Heavy Rain,70,2014-07-02 22:26:00<br />
6:30 PM,73.9,71.1,91,29.94,0.8,ENE,11.5,-,0.11,Rain,Heavy Rain,60,2014-07-02 22:30:00<br />
6:44 PM,73.9,71.1,91,29.93,1.0,ENE,11.5,17.3,0.34,Rain,Heavy Rain,70,2014-07-02 22:44:00<br />
6:51 PM,73.9,72.0,93,29.90,1.8,Variable,6.9,17.3,0.37,Rain,Light Rain,0,2014-07-02 22:51:00<br />
6:54 PM,73.9,72.0,93,29.93,3.0,ENE,8.1,-,0.00,Rain,Light Rain,60,2014-07-02 22:54:00<br />
7:06 PM,75.0,72.0,90,29.94,5.0,Variable,5.8,-,0.00,,Overcast,0,2014-07-02 23:06:00<br />
7:24 PM,73.9,72.0,93,29.96,1.8,East,4.6,-,0.01,Rain,Heavy Rain,90,2014-07-02 23:24:00<br />
7:39 PM,73.9,72.0,93,30.00,0.5,SSE,3.5,-,0.23,Fog-Rain,Heavy Rain,160,2014-07-02 23:39:00<br />
7:51 PM,73.9,72.0,93,29.95,1.0,Variable,3.5,-,0.41,Rain,Rain,0,2014-07-02 23:51:00<br />
8:05 PM,73.9,72.0,93,29.99,3.0,Calm,Calm,-,0.03,Rain,Light Rain,0,2014-07-03 00:05:00<br />
8:51 PM,73.0,71.1,93,29.92,7.0,Calm,Calm,-,0.05,,Scattered Clouds,0,2014-07-03 00:51:00<br />
9:51 PM,73.0,71.1,93,29.95,4.0,WSW,4.6,-,0.01,Rain,Light Rain,250,2014-07-03 01:51:00<br />
10:51 PM,73.0,71.1,93,29.91,4.0,SSE,4.6,-,0.06,,Scattered Clouds,150,2014-07-03 02:51:00<br />
11:51 PM,73.0,71.1,93,29.92,4.0,Calm,Calm,-,N/A,,Clear,0,2014-07-03 03:51:00<br />
12:51 AM,73.0,71.1,93,29.92,4.0,WNW,3.5,-,N/A,,Clear,290,2014-07-03 04:51:00<br />
1:51 AM,73.0,70.0,90,29.92,8.0,Calm,Calm,-,N/A,,Clear,0,2014-07-03 05:51:00<br />
2:51 AM,73.0,70.0,90,29.91,7.0,Calm,Calm,-,N/A,,Clear,0,2014-07-03 06:51:00<br />
3:51 AM,73.0,71.1,93,29.91,6.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-07-03 07:51:00<br />
4:51 AM,73.0,71.1,93,29.91,2.5,Calm,Calm,-,0.01,Rain,Rain,0,2014-07-03 08:51:00<br />
5:35 AM,73.0,71.1,93,29.95,3.0,Calm,Calm,-,0.03,,Scattered Clouds,0,2014-07-03 09:35:00<br />
5:43 AM,73.0,71.1,93,29.95,1.8,Calm,Calm,-,0.03,,Partly Cloudy,0,2014-07-03 09:43:00<br />
5:51 AM,73.0,71.1,93,29.93,1.0,Calm,Calm,-,0.03,,Clear,0,2014-07-03 09:51:00<br />
6:19 AM,73.9,72.0,93,29.97,2.5,WNW,5.8,-,N/A,,Partly Cloudy,290,2014-07-03 10:19:00<br />
6:30 AM,73.9,72.0,93,29.98,3.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-07-03 10:30:00<br />
6:39 AM,73.9,72.0,93,29.98,3.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-07-03 10:39:00<br />
6:47 AM,73.4,71.6,94,29.98,2.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-07-03 10:47:00<br />
6:51 AM,73.9,72.0,93,29.96,2.5,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-07-03 10:51:00<br />
